C_SO2_1H,I_SO2_1H,C_NO2_1H,I_NO2_1H,C_PM10_1H,I_PM10_24H_MV,C_CO1_1H,I_CO1_1H,C_O3_1H,I_O3_1H,C_PM25_1H,I_PM25_24H_MV,AQI_,PRIMARY_POLLUTANTS__-,PRIMARY_POLLUTANTS__NO2,"PRIMARY_POLLUTANTS__NO2,PM10","PRIMARY_POLLUTANTS__NO2,PM2.5",PRIMARY_POLLUTANTS__O3-1小时,"PRIMARY_POLLUTANTS__O3-1小时,PM2.5",PRIMARY_POLLUTANTS__PM10,"PRIMARY_POLLUTANTS__PM10,O3-1小时","PRIMARY_POLLUTANTS__PM10,PM2.5",PRIMARY_POLLUTANTS__PM2.5,LEVEL__一级,LEVEL__三级,LEVEL__二级,LEVEL__五级,LEVEL__六级,LEVEL__四级,CATEGORY__严重污染,CATEGORY__中度污染,CATEGORY__优,CATEGORY__良,CATEGORY__轻度污染,CATEGORY__重度污染,COLOR__橙色,COLOR__紫色,COLOR__红色,COLOR__绿色,COLOR__褐红色,COLOR__黄色,STATE__正常,label
33.0,11.0,141.0,71.0,361.0,216.0,2.079,21.0,15.0,5.0,212.0,262.0,262.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,262.0
30.0,10.0,130.0,65.0,337.0,194.0,1.6669999999999998,17.0,20.0,7.0,182.0,232.0,232.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,232.0
32.0,11.0,126.0,63.0,288.0,169.0,1.416,15.0,29.0,10.0,187.0,237.0,237.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,237.0
35.0,12.0,141.0,71.0,274.0,162.0,1.487,15.0,31.0,10.0,206.0,256.0,256.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,256.0
33.0,11.0,131.0,66.0,297.0,174.0,1.39,14.0,39.0,13.0,185.0,235.0,235.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,235.0
28.0,10.0,92.0,46.0,286.0,168.0,1.071,11.0,55.0,18.0,141.0,188.0,188.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,188.0
29.0,10.0,92.0,46.0,209.0,130.0,1.088,11.0,54.0,17.0,143.0,190.0,190.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,190.0
30.0,10.0,103.0,52.0,210.0,130.0,1.193,12.0,38.0,12.0,145.0,193.0,193.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,193.0
26.0,9.0,117.0,59.0,220.0,135.0,1.416,15.0,20.0,7.0,157.0,207.0,207.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,207.0
29.0,10.0,114.0,57.0,235.0,143.0,1.7009999999999998,18.0,12.0,4.0,158.0,208.0,208.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,208.0
36.0,12.0,104.0,52.0,237.0,144.0,2.305,24.0,12.0,4.0,176.0,226.0,226.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,226.0
36.0,12.0,111.0,56.0,305.0,178.0,2.531,26.0,11.0,4.0,180.0,230.0,230.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,230.0
37.0,13.0,94.0,47.0,299.0,175.0,2.715,28.0,12.0,4.0,191.0,241.0,241.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,241.0
34.0,12.0,129.0,65.0,332.0,191.0,2.342,24.0,12.0,4.0,233.0,283.0,283.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,283.0
32.0,11.0,88.0,44.0,352.0,203.0,2.488,25.0,12.0,4.0,212.0,262.0,262.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,262.0
29.0,10.0,68.0,34.0,309.0,180.0,2.359,24.0,10.0,4.0,198.0,248.0,248.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,248.0
27.0,9.0,68.0,34.0,291.0,171.0,2.177,22.0,10.0,4.0,193.0,243.0,243.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,243.0
25.0,9.0,66.0,33.0,288.0,169.0,2.014,21.0,10.0,4.0,185.0,235.0,235.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,235.0
32.0,11.0,75.0,38.0,260.0,155.0,2.412,25.0,10.0,4.0,217.0,267.0,267.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,267.0
33.0,11.0,80.0,40.0,324.0,187.0,2.479,25.0,10.0,4.0,215.0,265.0,265.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,265.0
33.0,11.0,65.0,33.0,320.0,185.0,2.412,25.0,10.0,4.0,200.0,250.0,250.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,250.0
33.0,11.0,63.0,32.0,290.0,170.0,2.47,25.0,10.0,4.0,194.0,244.0,244.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,244.0
39.0,13.0,80.0,40.0,287.0,169.0,2.745,28.0,10.0,4.0,226.0,276.0,276.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,276.0
44.0,15.0,102.0,51.0,316.0,183.0,2.582,26.0,12.0,4.0,225.0,275.0,275.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,275.0
46.0,16.0,122.0,61.0,318.0,184.0,2.303,24.0,15.0,5.0,221.0,271.0,271.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,271.0
39.0,13.0,132.0,66.0,317.0,184.0,2.125,22.0,30.0,10.0,205.0,255.0,255.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,255.0
36.0,12.0,76.0,38.0,302.0,176.0,1.394,14.0,94.0,30.0,155.0,205.0,205.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,205.0
33.0,11.0,60.0,30.0,192.0,121.0,1.325,14.0,130.0,41.0,158.0,208.0,208.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,208.0
27.0,9.0,53.0,27.0,190.0,120.0,1.146,12.0,146.0,46.0,132.0,175.0,175.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,175.0
21.0,7.0,43.0,22.0,179.0,115.0,0.962,10.0,151.0,48.0,96.0,127.0,127.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,127.0
20.0,7.0,60.0,30.0,130.0,90.0,1.053,11.0,132.0,42.0,112.0,147.0,147.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,147.0
20.0,7.0,92.0,46.0,180.0,115.0,1.231,13.0,92.0,29.0,123.0,162.0,162.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,162.0
21.0,7.0,160.0,80.0,179.0,115.0,1.5830000000000002,16.0,14.0,5.0,140.0,186.0,186.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,186.0
22.0,8.0,169.0,85.0,223.0,137.0,1.6469999999999998,17.0,12.0,4.0,156.0,206.0,206.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,206.0
22.0,8.0,164.0,82.0,227.0,139.0,1.937,20.0,12.0,4.0,178.0,228.0,228.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,228.0
25.0,9.0,153.0,77.0,249.0,150.0,2.332,24.0,12.0,4.0,189.0,239.0,239.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,239.0
29.0,10.0,162.0,81.0,282.0,166.0,2.34,24.0,11.0,4.0,194.0,244.0,244.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,244.0
30.0,10.0,148.0,74.0,296.0,173.0,2.356,24.0,10.0,4.0,193.0,243.0,243.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,243.0
24.0,8.0,163.0,82.0,293.0,172.0,1.6840000000000002,17.0,9.0,3.0,172.0,222.0,222.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,222.0
23.0,8.0,141.0,71.0,247.0,149.0,1.405,15.0,12.0,4.0,146.0,195.0,195.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,195.0
25.0,9.0,133.0,67.0,207.0,129.0,1.487,15.0,9.0,3.0,146.0,195.0,195.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,195.0
32.0,11.0,141.0,71.0,186.0,118.0,2.089,21.0,10.0,4.0,176.0,226.0,226.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,226.0
25.0,9.0,127.0,64.0,312.0,181.0,1.805,19.0,9.0,3.0,174.0,224.0,224.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,224.0
25.0,9.0,108.0,54.0,225.0,138.0,1.763,18.0,9.0,3.0,158.0,208.0,208.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,208.0
26.0,9.0,104.0,52.0,217.0,134.0,1.852,19.0,9.0,3.0,156.0,206.0,206.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,206.0
28.0,10.0,103.0,52.0,232.0,141.0,2.177,22.0,10.0,4.0,166.0,216.0,216.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,216.0
31.0,11.0,108.0,54.0,256.0,153.0,2.55,26.0,10.0,4.0,173.0,223.0,223.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,223.0
32.0,11.0,125.0,63.0,318.0,184.0,2.585,26.0,10.0,4.0,186.0,236.0,236.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,236.0
37.0,13.0,132.0,66.0,301.0,176.0,1.693,17.0,17.0,6.0,185.0,235.0,235.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,235.0
40.0,14.0,146.0,73.0,270.0,160.0,1.963,20.0,15.0,5.0,198.0,248.0,248.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,248.0
34.0,12.0,146.0,73.0,311.0,181.0,2.114,22.0,11.0,4.0,202.0,252.0,252.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,252.0
29.0,10.0,133.0,67.0,315.0,183.0,1.669,17.0,27.0,9.0,161.0,211.0,211.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,211.0
26.0,9.0,89.0,45.0,234.0,142.0,1.277,13.0,66.0,21.0,136.0,180.0,180.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,180.0
25.0,9.0,102.0,51.0,186.0,118.0,1.4369999999999998,15.0,69.0,22.0,162.0,212.0,212.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,212.0
27.0,9.0,134.0,67.0,240.0,145.0,1.67,17.0,40.0,13.0,169.0,219.0,219.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,219.0
25.0,9.0,156.0,78.0,238.0,144.0,1.918,20.0,11.0,4.0,170.0,220.0,220.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,220.0
26.0,9.0,163.0,82.0,260.0,155.0,2.259,23.0,10.0,4.0,188.0,238.0,238.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,238.0
28.0,10.0,164.0,82.0,296.0,173.0,2.234,23.0,10.0,4.0,206.0,256.0,256.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,256.0
36.0,12.0,152.0,76.0,335.0,193.0,2.102,22.0,10.0,4.0,219.0,269.0,269.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,269.0
35.0,12.0,138.0,69.0,332.0,191.0,1.911,20.0,10.0,4.0,216.0,266.0,266.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,266.0
33.0,11.0,135.0,68.0,309.0,180.0,1.931,20.0,10.0,4.0,217.0,267.0,267.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,267.0
37.0,13.0,128.0,64.0,257.0,154.0,1.983,20.0,10.0,4.0,216.0,266.0,266.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,266.0
44.0,15.0,128.0,64.0,300.0,175.0,1.955,20.0,10.0,4.0,215.0,265.0,265.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,265.0
42.0,14.0,124.0,62.0,292.0,171.0,1.906,20.0,10.0,4.0,213.0,263.0,263.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,263.0
42.0,14.0,119.0,60.0,293.0,172.0,2.0,20.0,10.0,4.0,217.0,267.0,267.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,267.0
43.0,15.0,120.0,60.0,316.0,183.0,1.974,20.0,10.0,4.0,216.0,266.0,266.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,266.0
41.0,14.0,104.0,52.0,312.0,181.0,2.087,21.0,10.0,4.0,215.0,265.0,265.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,265.0
40.0,14.0,109.0,55.0,293.0,172.0,1.942,20.0,10.0,4.0,215.0,265.0,265.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,265.0
41.0,14.0,109.0,55.0,280.0,165.0,1.99,20.0,10.0,4.0,217.0,267.0,267.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,267.0
43.0,15.0,105.0,53.0,297.0,174.0,2.242,23.0,10.0,4.0,218.0,268.0,268.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,268.0
41.0,14.0,98.0,49.0,320.0,185.0,2.556,26.0,11.0,4.0,223.0,273.0,273.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,273.0
34.0,12.0,118.0,59.0,347.0,199.0,2.679,27.0,13.0,5.0,239.0,289.0,289.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,289.0
36.0,12.0,159.0,80.0,347.0,199.0,3.392,34.0,10.0,4.0,269.0,319.0,319.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,319.0
41.0,14.0,183.0,92.0,387.0,253.0,3.426,35.0,10.0,4.0,282.0,332.0,332.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,332.0
41.0,14.0,197.0,99.0,432.0,315.0,3.045,31.0,11.0,4.0,264.0,314.0,315.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,315.0
40.0,14.0,188.0,94.0,429.0,312.0,2.437,25.0,16.0,5.0,266.0,316.0,316.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,316.0
35.0,12.0,182.0,91.0,391.0,259.0,2.1630000000000003,22.0,16.0,5.0,271.0,321.0,321.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,321.0
35.0,12.0,161.0,81.0,356.0,209.0,1.787,18.0,21.0,7.0,246.0,296.0,296.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,296.0
37.0,13.0,175.0,88.0,291.0,171.0,2.044,21.0,10.0,4.0,292.0,342.0,342.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,342.0
34.0,12.0,162.0,81.0,361.0,216.0,2.228,23.0,9.0,3.0,276.0,326.0,326.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,326.0
35.0,12.0,163.0,82.0,353.0,205.0,2.386,24.0,9.0,3.0,295.0,345.0,345.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,345.0
38.0,13.0,174.0,87.0,403.0,276.0,2.412,25.0,9.0,3.0,320.0,370.0,370.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,370.0
41.0,14.0,176.0,88.0,416.0,295.0,2.669,27.0,10.0,4.0,333.0,383.0,383.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,383.0
40.0,14.0,180.0,90.0,498.0,398.0,2.783,28.0,10.0,4.0,349.0,399.0,399.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,399.0
37.0,13.0,182.0,91.0,488.0,385.0,2.569,26.0,10.0,4.0,354.0,403.0,403.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,403.0
38.0,13.0,164.0,82.0,470.0,363.0,2.366,24.0,9.0,3.0,348.0,398.0,398.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,398.0
42.0,14.0,143.0,72.0,468.0,360.0,2.258,23.0,9.0,3.0,348.0,398.0,398.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,398.0
42.0,14.0,131.0,66.0,437.0,322.0,2.24,23.0,9.0,3.0,344.0,394.0,394.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,394.0
38.0,13.0,103.0,52.0,426.0,308.0,2.398,24.0,9.0,3.0,333.0,383.0,383.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,383.0
47.0,16.0,102.0,51.0,410.0,286.0,2.4,24.0,8.0,3.0,334.0,384.0,384.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,384.0
49.0,17.0,89.0,45.0,437.0,322.0,2.178,22.0,9.0,3.0,317.0,367.0,367.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,367.0
37.0,13.0,80.0,40.0,384.0,249.0,2.382,24.0,9.0,3.0,308.0,358.0,358.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,358.0
36.0,12.0,68.0,34.0,362.0,218.0,2.549,26.0,8.0,3.0,303.0,353.0,353.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,353.0
35.0,12.0,66.0,33.0,350.0,200.0,2.832,29.0,9.0,3.0,295.0,345.0,345.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,345.0
46.0,16.0,89.0,45.0,369.0,228.0,3.122,32.0,9.0,3.0,329.0,379.0,379.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,379.0
49.0,17.0,115.0,58.0,443.0,329.0,3.2230000000000003,33.0,10.0,4.0,338.0,388.0,388.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,388.0
43.0,15.0,144.0,72.0,458.0,348.0,3.045,31.0,14.0,5.0,344.0,394.0,394.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,394.0
45.0,15.0,158.0,79.0,440.0,325.0,2.607,27.0,24.0,8.0,270.0,320.0,325.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,325.0
39.0,13.0,132.0,66.0,439.0,324.0,2.0,20.0,64.0,20.0,262.0,312.0,324.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,324.0
36.0,12.0,140.0,70.0,341.0,196.0,2.013,21.0,69.0,22.0,256.0,306.0,306.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,306.0
34.0,12.0,119.0,60.0,338.0,194.0,1.81,19.0,93.0,30.0,232.0,282.0,282.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,282.0
30.0,10.0,91.0,46.0,303.0,177.0,1.62,17.0,120.0,38.0,211.0,261.0,261.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,261.0
