city,year,weekofyear,total_cases
sj,2011,13,20
sj,2011,14,13
sj,2011,15,17
sj,2011,16,19
sj,2011,17,24
sj,2011,18,16
sj,2011,19,15
sj,2011,20,14
sj,2011,21,14
sj,2011,22,12
sj,2011,23,17
sj,2011,24,40
sj,2011,25,40
sj,2011,26,45
sj,2011,27,53
sj,2011,28,63
sj,2011,29,56
sj,2011,30,115
sj,2011,31,105
sj,2011,32,68
sj,2011,33,42
sj,2011,34,107
sj,2011,35,67
sj,2011,36,40
sj,2011,37,82
sj,2011,38,44
sj,2011,39,51
sj,2011,40,56
sj,2011,41,39
sj,2011,42,64
sj,2011,43,85
sj,2011,44,22
sj,2011,45,20
sj,2011,46,25
sj,2011,47,41
sj,2011,48,36
sj,2011,49,33
sj,2011,50,38
sj,2011,51,34
sj,2012,52,16
sj,2012,1,29
sj,2012,2,15
sj,2012,3,16
sj,2012,4,22
sj,2012,5,15
sj,2012,6,15
sj,2012,7,16
sj,2012,8,15
sj,2012,9,16
sj,2012,10,14
sj,2012,11,18
sj,2012,12,15
sj,2012,13,20
sj,2012,14,15
sj,2012,15,22
sj,2012,16,18
sj,2012,17,28
sj,2012,18,16
sj,2012,19,14
sj,2012,20,12
sj,2012,21,22
sj,2012,22,29
sj,2012,23,26
sj,2012,24,26
sj,2012,25,16
sj,2012,26,29
sj,2012,27,60
sj,2012,28,31
sj,2012,29,38
sj,2012,30,28
sj,2012,31,32
sj,2012,32,25
sj,2012,33,50
sj,2012,34,12
sj,2012,35,50
sj,2012,36,48
sj,2012,37,38
sj,2012,38,38
sj,2012,39,22
sj,2012,40,18
sj,2012,41,31
sj,2012,42,24
sj,2012,43,19
sj,2012,44,41
sj,2012,45,40
sj,2012,46,66
sj,2012,47,49
sj,2012,48,42
sj,2012,49,64
sj,2012,50,34
sj,2012,51,37
sj,2013,1,25
sj,2013,2,19
sj,2013,3,20
sj,2013,4,19
sj,2013,5,15
sj,2013,6,20
sj,2013,7,13
sj,2013,8,16
sj,2013,9,16
sj,2013,10,16
sj,2013,11,17
sj,2013,12,12
sj,2013,13,15
sj,2013,14,15
sj,2013,15,14
sj,2013,16,21
sj,2013,17,24
iq,2010,26,5
iq,2010,27,3
iq,2010,28,7
iq,2010,29,3
iq,2010,30,1
iq,2010,31,2
iq,2010,32,4
iq,2010,33,0
iq,2010,34,3
iq,2010,35,0
iq,2010,36,11
iq,2010,37,1
iq,2010,38,0
iq,2010,39,11
iq,2010,40,0
iq,2010,41,4
iq,2010,42,8
iq,2010,43,10
iq,2010,44,10
iq,2010,45,8
iq,2010,46,27
iq,2010,47,20
iq,2010,48,10
iq,2010,49,4
iq,2010,50,6
iq,2010,51,10
iq,2011,52,18
iq,2011,1,8
iq,2011,2,18
iq,2011,3,9
iq,2011,4,18
iq,2011,5,2
iq,2011,6,5
iq,2011,7,8
iq,2011,8,9
iq,2011,9,9
iq,2011,10,9
iq,2011,11,5
iq,2011,12,10
iq,2011,13,10
iq,2011,14,8
iq,2011,15,9
iq,2011,16,4
iq,2011,17,7
iq,2011,18,9
iq,2011,19,11
iq,2011,20,1
iq,2011,21,1
iq,2011,22,6
iq,2011,23,5
iq,2011,24,3
iq,2011,25,3
iq,2011,26,2
iq,2011,27,2
iq,2011,28,5
iq,2011,29,2
iq,2011,30,1
iq,2011,31,2
iq,2011,32,1
iq,2011,33,1
iq,2011,34,2
iq,2011,35,1
iq,2011,36,1
iq,2011,37,1
iq,2011,38,2
iq,2011,39,4
iq,2011,40,1
iq,2011,41,14
iq,2011,42,9
iq,2011,43,6
iq,2011,44,2
iq,2011,45,13
iq,2011,46,6
iq,2011,47,11
iq,2011,48,13
iq,2011,49,5
iq,2011,50,16
iq,2011,51,7
iq,2012,52,8
iq,2012,1,7
iq,2012,2,6
iq,2012,3,4
iq,2012,4,8
iq,2012,5,7
iq,2012,6,5
iq,2012,7,6
iq,2012,8,2
iq,2012,9,6
iq,2012,10,8
iq,2012,11,1
iq,2012,12,4
iq,2012,13,11
iq,2012,14,4
iq,2012,15,7
iq,2012,16,5
iq,2012,17,13
iq,2012,18,7
iq,2012,19,7
iq,2012,20,5
iq,2012,21,3
iq,2012,22,3
iq,2012,23,3
iq,2012,24,2
iq,2012,25,1
iq,2012,26,1
iq,2012,27,1
iq,2012,28,2
iq,2012,29,1
iq,2012,30,4
iq,2012,31,2
iq,2012,32,3
iq,2012,33,1
iq,2012,34,1
iq,2012,35,2
iq,2012,36,0
iq,2012,37,0
iq,2012,38,0
iq,2012,39,0
iq,2012,40,3
iq,2012,41,2
iq,2012,42,1
iq,2012,43,20
iq,2012,44,11
iq,2012,45,14
iq,2012,46,4
iq,2012,47,12
iq,2012,48,9
iq,2012,49,17
iq,2012,50,4
iq,2012,51,8
iq,2013,1,8
iq,2013,2,6
iq,2013,3,6
iq,2013,4,9
iq,2013,5,7
iq,2013,6,9
iq,2013,7,12
iq,2013,8,8
iq,2013,9,6
iq,2013,10,13
iq,2013,11,7
iq,2013,12,8
iq,2013,13,4
iq,2013,14,13
iq,2013,15,9
iq,2013,16,10
iq,2013,17,14
iq,2013,18,2
iq,2013,19,7
iq,2013,20,10
iq,2013,21,7
iq,2013,22,1
iq,2013,23,2
iq,2013,24,3
iq,2013,25,1
iq,2013,26,3
